time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-12-24T15:35:22.440Z,-4.896,152.966,33,4.8,mb,7,,,1.18,us,usp000a6nt,2014-11-07T01:11:46.151Z,"98 km SE of Kokopo, Papua New Guinea",earthquake,,,,2,reviewed,us,us
2000-12-24T15:31:40.550Z,-4.527,101.885,33,4.6,mb,25,,,0.74,us,usp000a6ns,2014-11-07T01:11:46.148Z,"90 km SSW of Bengkulu, Indonesia",earthquake,,,,9,reviewed,us,us
2000-12-24T15:21:24.560Z,-4.309,153.07,33,4.5,mb,15,,,1.43,us,usp000a6nr,2014-11-07T01:11:46.147Z,"89 km E of Kokopo, Papua New Guinea",earthquake,,,,4,reviewed,us,us
2000-12-24T14:09:44.710Z,-6.306,-107.057,10,4.7,mb,28,,,1.24,us,usp000a6nk,2014-11-07T01:11:46.136Z,"central East Pacific Rise",earthquake,,,,9,reviewed,us,us
2000-12-24T11:30:47.500Z,38.615,40.259,10,4.6,mb,76,,,1.13,us,usp000a6nf,2014-11-07T01:11:46.117Z,"13 km ENE of Ar?cak, Turkey",earthquake,,,,37,reviewed,us,us
2000-12-24T11:21:58.260Z,23.971,69.763,10,4.6,mb,14,,,1.34,us,usp000a6nd,2020-09-18T18:02:23.854Z,"57 km SSE of Diplo, Pakistan",earthquake,,,,2,reviewed,us,us
2000-12-24T07:34:30.790Z,11.868,140.078,33,4.9,mb,17,,,1.28,us,usp000a6n7,2014-11-07T01:11:46.104Z,"237 km NNW of Fais, Micronesia",earthquake,,,,5,reviewed,us,us
2000-12-24T04:23:02.610Z,-4.278,123.359,33,4.9,mb,28,,,0.86,us,usp000a6mz,2014-11-07T01:11:46.085Z,"99 km ESE of Kendari, Indonesia",earthquake,,,,15,reviewed,us,us
2000-12-24T03:24:19.850Z,-5.583,152.848,33,4.5,mb,17,,,1.14,us,usp000a6my,2014-11-07T01:11:46.083Z,"151 km SSE of Kokopo, Papua New Guinea",earthquake,,,,5,reviewed,us,us
2000-12-24T03:11:07.450Z,-4.196,123.247,33,5.6,mwc,55,,,1.18,us,usp000a6mx,2022-04-29T19:02:12.679Z,"84 km ESE of Kendari, Indonesia",earthquake,,,,,reviewed,us,hrv
2000-12-23T23:12:57.440Z,-10.761,164.916,33,5.2,mwc,52,,,1.1,us,usp000a6mq,2016-11-10T00:16:18.166Z,"96 km W of Lata, Solomon Islands",earthquake,,,,,reviewed,us,hrv
2000-12-23T22:03:51.950Z,-17.332,-16.676,10,4.9,mb,58,,,0.69,us,usp000a6mp,2014-11-07T01:11:46.046Z,"southern Mid-Atlantic Ridge",earthquake,,,,23,reviewed,us,us
2000-12-23T21:31:06.300Z,-31.455,-178.214,96.2,4.9,mb,27,,,1.25,us,usp000a6mn,2014-11-07T01:11:46.042Z,"Kermadec Islands region",earthquake,,8.1,,6,reviewed,us,us
2000-12-23T21:06:37.740Z,-31.819,-68.26,109.1,4.6,mb,63,,,1.13,us,usp000a6mj,2014-11-07T01:11:46.027Z,"18 km S of Caucete, Argentina",earthquake,,,,13,reviewed,us,us
2000-12-23T20:18:31.790Z,-22.7,171.018,33,4.8,mb,39,,,1.17,us,usp000a6mh,2014-11-07T01:11:46.020Z,"southeast of the Loyalty Islands",earthquake,,,,11,reviewed,us,us
2000-12-23T16:39:08.300Z,1.696,97.018,33,4.8,mb,26,,,0.73,us,usp000a6ma,2014-11-07T01:11:46.008Z,"107 km SW of Singkil, Indonesia",earthquake,,,,7,reviewed,us,us
2000-12-23T15:05:35.320Z,-5.587,152.875,33,4.6,mb,20,,,1.18,us,usp000a6m7,2014-11-07T01:11:46.003Z,"153 km SSE of Kokopo, Papua New Guinea",earthquake,,,,4,reviewed,us,us
2000-12-23T13:54:22.400Z,-6.25,128.194,331.7,4.6,mb,7,,,0.81,us,usp000a6m5,2014-11-07T01:11:46.000Z,"282 km S of Ambon, Indonesia",earthquake,,51.4,,2,reviewed,us,us
2000-12-23T11:17:52.990Z,19.07,121.372,48.9,4.5,mb,51,,,0.84,us,usp000a6m3,2014-11-07T01:11:45.994Z,"55 km NNE of Namuac, Philippines",earthquake,,,,15,reviewed,us,us
2000-12-23T07:13:38.770Z,-7.848,135.826,33,4.9,mb,26,,,1.19,us,usp000a6kp,2014-11-07T01:11:45.965Z,"Kepulauan Aru region, Indonesia",earthquake,,,,1,reviewed,us,us
2000-12-23T07:13:24.300Z,-7.873,135.816,61.7,6,mwc,129,,,0.89,us,usp000a6kn,2022-04-29T19:47:36.068Z,"Kepulauan Aru region, Indonesia",earthquake,,,,,reviewed,us,hrv
2000-12-23T05:20:22.140Z,0.752,125.371,60,4.5,mb,13,,,0.91,us,usp000a6kf,2014-11-07T01:11:45.935Z,"79 km SE of Tondano, Indonesia",earthquake,,26.9,,4,reviewed,us,us
2000-12-23T04:29:10.820Z,-26.597,-107.424,10,4.8,mb,14,,,0.88,us,usp000a6ke,2014-11-07T01:11:45.933Z,"208 km ENE of Hanga Roa, Chile",earthquake,,,,3,reviewed,us,us
2000-12-23T02:52:55.350Z,-5.399,152.606,33,4.6,mb,11,,,0.9,us,usp000a6k8,2014-11-07T01:11:45.921Z,"122 km SSE of Kokopo, Papua New Guinea",earthquake,,,,1,reviewed,us,us
2000-12-23T00:47:22.400Z,-44.461,-81.834,10,4.5,mb,18,,,1.26,us,usp000a6k4,2014-11-07T01:11:45.913Z,"West Chile Rise",earthquake,,,,2,reviewed,us,us
2000-12-22T23:04:33.830Z,-6.844,143.872,33,4.6,mb,44,,,0.9,us,usp000a6k1,2014-11-07T01:11:45.903Z,"63 km SSW of Ialibu, Papua New Guinea",earthquake,,,,13,reviewed,us,us
2000-12-22T20:48:06.880Z,-4.112,127.394,33,5.1,mb,64,,,1,us,usp000a6jv,2014-11-07T01:11:45.880Z,"99 km WSW of Ambon, Indonesia",earthquake,,,,21,reviewed,us,us
2000-12-22T19:39:23.220Z,0.916,122.652,80.9,4.9,mb,30,,,0.9,us,usp000a6js,2014-11-07T01:11:45.873Z,"61 km NW of Gorontalo, Indonesia",earthquake,,20.8,,13,reviewed,us,us
2000-12-22T18:58:19.420Z,-4.291,152.893,33,4.5,mb,13,,,1.63,us,usp000a6jn,2014-11-07T01:11:45.863Z,"69 km E of Kokopo, Papua New Guinea",earthquake,,,,3,reviewed,us,us
2000-12-22T16:29:59.970Z,-26.408,-107.147,10,5.2,mwc,52,,,0.71,us,usp000a6jf,2016-11-10T00:15:52.995Z,"241 km ENE of Hanga Roa, Chile",earthquake,,,,,reviewed,us,hrv
2000-12-22T11:05:45.800Z,-32.739,-71.268,53.4,4.9,mb,48,,,,us,usp000a6j2,2014-11-07T01:11:45.818Z,"6 km NW of Hacienda La Calera, Chile",earthquake,,,,2,reviewed,guc,us
2000-12-22T10:13:01.110Z,44.79,147.196,140.4,6.2,mwb,528,,,0.81,us,usp000a6j0,2022-04-29T19:02:06.737Z,"72 km SW of Kuril’sk, Russia",earthquake,,,,,reviewed,us,us
2000-12-22T10:06:39.510Z,30.964,141.745,33,4.5,mb,20,,,1.12,us,usp000a6hz,2014-11-07T01:11:45.754Z,"Izu Islands, Japan region",earthquake,,,,5,reviewed,us,us
2000-12-22T09:04:11.980Z,35.868,45.945,33,4.6,mb,21,,,1.24,us,usp000a6hu,2014-11-07T01:11:45.745Z,"15 km SSE of B?neh, Iran",earthquake,,,,7,reviewed,us,us
2000-12-22T08:30:39.170Z,-10.56,164.22,33,5.9,mwc,114,,,1.01,us,usp000a6hs,2022-04-29T19:02:05.299Z,"173 km W of Lata, Solomon Islands",earthquake,,,,,reviewed,us,hrv
2000-12-22T02:49:28.770Z,35.374,22.968,65.7,4.5,mb,57,,,1.13,us,usp000a6hk,2014-11-07T01:11:45.710Z,"63 km WSW of Kíssamos, Greece",earthquake,,6.6,,13,reviewed,us,us
2000-12-22T02:26:46.790Z,-4.995,152.976,33,4.9,mb,29,,,1.41,us,usp000a6hj,2014-11-07T01:11:45.706Z,"106 km SE of Kokopo, Papua New Guinea",earthquake,,,,9,reviewed,us,us
2000-12-22T00:45:50.650Z,-4.7,150.824,33,4.5,mb,8,,,1.26,us,usp000a6hg,2014-11-07T01:11:45.703Z,"121 km NE of Kimbe, Papua New Guinea",earthquake,,,,1,reviewed,us,us
2000-12-22T00:40:39.208Z,56.5401,-158.0955,91.5,5.5,mw,,,,1.22,ak,ak000gef3jyo,2022-04-29T19:02:03.874Z,"33 km NE of Chignik, Alaska",earthquake,,4.8,,,reviewed,ak,ak
2000-12-21T22:50:07.960Z,4.406,-78.763,10,4.7,mb,52,,,1.06,us,usp000a6hb,2014-11-07T01:11:45.653Z,"156 km W of Santa Genoveva de Docordó, Colombia",earthquake,,,,17,reviewed,us,us
2000-12-21T21:36:19.130Z,-5.302,142.792,72.7,4.5,mb,17,,,0.86,us,usp000a6h9,2014-11-07T01:11:45.649Z,"43 km WNW of Porgera, Papua New Guinea",earthquake,,12.4,,8,reviewed,us,us
2000-12-21T17:29:00.800Z,14.038,124.014,33,4.7,mb,26,,,1.06,us,usp000a6h0,2014-11-07T01:11:45.629Z,"14 km WNW of Caramoran, Philippines",earthquake,,,,10,reviewed,us,us
2000-12-21T16:42:50.070Z,7.328,126.706,33,5.1,mb,66,,,0.96,us,usp000a6gz,2014-11-07T01:11:45.622Z,"15 km ENE of Santiago, Philippines",earthquake,,,,28,reviewed,us,us
2000-12-21T16:13:11.290Z,-17.485,-179.078,532.9,4.7,mb,52,,,0.95,us,usp000a6gw,2014-11-07T01:11:45.614Z,"181 km ENE of Levuka, Fiji",earthquake,,21.8,,15,reviewed,us,us
2000-12-21T14:53:11.540Z,-3.109,150.743,33,5.5,mwc,24,,,1.17,us,usp000a6gt,2022-04-29T19:02:02.435Z,"59 km S of Kavieng, Papua New Guinea",earthquake,,,,,reviewed,us,hrv
2000-12-21T14:51:39.710Z,-3.184,150.475,33,5,mb,29,,,1.33,us,usp000a6gs,2014-11-07T01:11:45.604Z,"76 km SSW of Kavieng, Papua New Guinea",earthquake,,,,15,reviewed,us,us
2000-12-21T13:14:33.260Z,-3.263,150.445,33,5.7,mwc,41,,,1.36,us,usp000a6gn,2022-04-29T19:02:00.952Z,"85 km SSW of Kavieng, Papua New Guinea",earthquake,,,,,reviewed,us,hrv
2000-12-21T13:05:00.270Z,-3.221,150.758,25,5.5,mw,,,,,iscgem,iscgem3265188,2022-04-29T19:47:58.523Z,"71 km S of Kavieng, Papua New Guinea",earthquake,,25,0.2,,reviewed,iscgem,iscgem
2000-12-21T12:14:36.310Z,-5,153.313,33,4.9,mb,37,,,1.15,us,usp000a6gh,2014-11-07T01:11:45.584Z,"136 km ESE of Kokopo, Papua New Guinea",earthquake,,,,13,reviewed,us,us
2000-12-21T11:41:04.330Z,-4.333,152.797,33,4.6,mb,29,,,1.04,us,usp000a6gg,2014-11-07T01:11:45.581Z,"58 km E of Kokopo, Papua New Guinea",earthquake,,,,9,reviewed,us,us
2000-12-21T10:51:26.010Z,58.125,-32.268,10,4.5,mb,22,,,1.16,us,usp000a6ge,2014-11-07T01:11:45.577Z,"Reykjanes Ridge",earthquake,,,,3,reviewed,us,us
2000-12-21T10:39:48.490Z,26.616,55.786,33,4.7,mb,53,,,0.74,us,usp000a6gc,2014-11-07T01:11:45.570Z,"60 km SW of Qeshm, Iran",earthquake,,,,22,reviewed,us,us
2000-12-21T09:57:02.030Z,58.291,-32.213,10,4.5,mb,32,,,1.25,us,usp000a6g8,2014-11-07T01:11:45.558Z,"Reykjanes Ridge",earthquake,,,,9,reviewed,us,us
2000-12-21T06:13:12.600Z,-29.474,-68.935,53.6,4.5,mb,26,,,1.04,us,usp000a6g3,2014-11-07T01:11:45.540Z,"86 km NNW of San José de Jáchal, Argentina",earthquake,,9,,1,reviewed,us,us
